2026-04-24T17:41:28.155089,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:41:39.957396,VIDEO_REJECTED,autocorr rejected video,freq=3607079365.0793653,score=0.0
2026-04-24T17:41:40.129038,PLATEAU_CONFIRMED,Wideband signal detected,freq=3626126984.126984,bw=7.7490234375,hits=10
2026-04-24T17:41:40.140017,VIDEO_REJECTED,autocorr rejected video,freq=3626126984.126984,score=0.0
2026-04-24T17:41:40.231017,PLATEAU_CONFIRMED,Wideband signal detected,freq=3644735042.7350426,bw=8.935546875,hits=10
2026-04-24T17:41:40.252946,VIDEO_REJECTED,autocorr rejected video,freq=3644735042.7350426,score=0.0
2026-04-24T17:41:40.269932,PLATEAU_CONFIRMED,Wideband signal detected,freq=3663802197.802198,bw=7.4462890625,hits=7
2026-04-24T17:41:40.297378,VIDEO_REJECTED,autocorr rejected video,freq=3663802197.802198,score=0.0
2026-04-24T17:41:40.308020,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3680000000
2026-04-24T17:41:40.344120,PLATEAU_CONFIRMED,Wideband signal detected,freq=3703167277.1672773,bw=6.5283203125,hits=7
2026-04-24T17:41:40.374334,VIDEO_REJECTED,autocorr rejected video,freq=3703167277.1672773,score=0.0
2026-04-24T17:41:40.386559,PLATEAU_CONFIRMED,Wideband signal detected,freq=3724954822.9548225,bw=9.0673828125,hits=6
2026-04-24T17:41:40.406172,VIDEO_REJECTED,autocorr rejected video,freq=3724954822.9548225,score=0.0
2026-04-24T17:41:40.428287,PLATEAU_CONFIRMED,Wideband signal detected,freq=3740256410.25641,bw=5.888671875,hits=5
2026-04-24T17:41:40.446987,VIDEO_REJECTED,autocorr rejected video,freq=3740256410.25641,score=0.0
2026-04-24T17:41:40.458544,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3760000000
2026-04-24T17:41:40.580487,PLATEAU_CONFIRMED,Wideband signal detected,freq=3816017094.017094,bw=7.5634765625,hits=5
2026-04-24T17:41:40.608172,VIDEO_REJECTED,autocorr rejected video,freq=3816017094.017094,score=0.0
2026-04-24T17:41:40.621297,PLATEAU_CONFIRMED,Wideband signal detected,freq=3833907203.9072037,bw=4.0283203125,hits=4
2026-04-24T17:41:40.645592,VIDEO_REJECTED,autocorr rejected video,freq=3833907203.9072037,score=0.0
2026-04-24T17:41:40.710035,PLATEAU_CONFIRMED,Wideband signal detected,freq=3854798534.798535,bw=8.232421875,hits=6
2026-04-24T17:41:40.732351,VIDEO_REJECTED,autocorr rejected video,freq=3854798534.798535,score=0.0
2026-04-24T17:41:40.863629,PLATEAU_CONFIRMED,Wideband signal detected,freq=3884324786.324786,bw=8.2080078125,hits=8
2026-04-24T17:41:40.893211,VIDEO_REJECTED,autocorr rejected video,freq=3884324786.324786,score=0.0
2026-04-24T17:41:40.901734,PLATEAU_CONFIRMED,Wideband signal detected,freq=3903518925.5189257,bw=6.07421875,hits=4
2026-04-24T17:41:40.921192,VIDEO_REJECTED,autocorr rejected video,freq=3903518925.5189257,score=0.0
2026-04-24T17:41:41.112274,PLATEAU_CONFIRMED,Wideband signal detected,freq=3933455433.4554334,bw=6.611328125,hits=6
2026-04-24T17:41:41.128235,VIDEO_REJECTED,autocorr rejected video,freq=3933455433.4554334,score=0.0
2026-04-24T17:41:41.177884,PLATEAU_CONFIRMED,Wideband signal detected,freq=3954547008.5470085,bw=5.341796875,hits=8
2026-04-24T17:41:41.197112,VIDEO_REJECTED,autocorr rejected video,freq=3954547008.5470085,score=0.0
2026-04-24T17:41:41.287985,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=4040000000
2026-04-24T17:41:41.624941,PLATEAU_CONFIRMED,Wideband signal detected,freq=4157736263.7362638,bw=9.0625,hits=9
2026-04-24T17:41:41.658610,VIDEO_REJECTED,autocorr rejected video,freq=4157736263.7362638,score=0.0
2026-04-24T17:41:41.673347,PLATEAU_CONFIRMED,Wideband signal detected,freq=4177387057.3870573,bw=8.8818359375,hits=8
2026-04-24T17:41:41.694394,VIDEO_REJECTED,autocorr rejected video,freq=4177387057.3870573,score=0.0
2026-04-24T17:41:42.019950,PLATEAU_CONFIRMED,Wideband signal detected,freq=4405814407.814407,bw=4.4970703125,hits=3
2026-04-24T17:41:42.045087,VIDEO_REJECTED,autocorr rejected video,freq=4405814407.814407,score=0.0
2026-04-24T17:41:43.012942,PLATEAU_CONFIRMED,Wideband signal detected,freq=5004476190.476191,bw=7.7099609375,hits=5
2026-04-24T17:41:43.034080,VIDEO_REJECTED,autocorr rejected video,freq=5004476190.476191,score=0.0
2026-04-24T17:41:43.049771,PLATEAU_CONFIRMED,Wideband signal detected,freq=5022117216.117216,bw=8.1787109375,hits=5
2026-04-24T17:41:43.072241,VIDEO_REJECTED,autocorr rejected video,freq=5022117216.117216,score=0.0
2026-04-24T17:41:43.112425,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=5060000000
2026-04-24T17:41:43.191238,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=5120000000
2026-04-24T17:41:43.887767,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=5660000000
