2026-04-24T17:20:14.431895,SDR_READ_ERROR,readStream failed,code=0
2026-04-24T17:20:21.627046,PLATEAU_CONFIRMED,Wideband signal detected,freq=2074361416.3614163,bw=5.7080078125,hits=6
2026-04-24T17:20:21.654921,VIDEO_REJECTED,cyclo rejected video,freq=2074361416.3614163,score=0
2026-04-24T17:20:21.669166,PLATEAU_CONFIRMED,Wideband signal detected,freq=2092456654.4566545,bw=3.1689453125,hits=5
2026-04-24T17:20:21.704380,VIDEO_REJECTED,cyclo rejected video,freq=2092456654.4566545,score=0
2026-04-24T17:20:21.717794,PLATEAU_CONFIRMED,Wideband signal detected,freq=2125023199.023199,bw=7.216796875,hits=7
2026-04-24T17:20:21.975066,VIDEO_REJECTED,cyclo rejected video,freq=2125023199.023199,score=0
2026-04-24T17:20:22.032302,PLATEAU_CONFIRMED,Wideband signal detected,freq=2144849816.8498168,bw=8.984375,hits=10
2026-04-24T17:20:22.127433,VIDEO_REJECTED,cyclo rejected video,freq=2144849816.8498168,score=0
2026-04-24T17:20:22.145249,PLATEAU_CONFIRMED,Wideband signal detected,freq=2164507936.5079365,bw=8.8330078125,hits=10
2026-04-24T17:20:22.298062,VIDEO_REJECTED,cyclo rejected video,freq=2164507936.5079365,score=0
2026-04-24T17:20:22.381834,PLATEAU_CONFIRMED,Wideband signal detected,freq=2186236874.2368746,bw=6.07421875,hits=8
2026-04-24T17:20:22.469142,VIDEO_REJECTED,cyclo rejected video,freq=2186236874.2368746,score=0
2026-04-24T17:20:22.473189,PLATEAU_CONFIRMED,Wideband signal detected,freq=2206673992.6739926,bw=7.3388671875,hits=8
2026-04-24T17:20:22.502567,VIDEO_REJECTED,cyclo rejected video,freq=2206673992.6739926,score=0
2026-04-24T17:20:22.536651,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2240000000
2026-04-24T17:20:22.589801,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=2280000000
2026-04-24T17:20:22.707780,PLATEAU_CONFIRMED,Wideband signal detected,freq=2361076923.076923,bw=9.82421875,hits=5
2026-04-24T17:20:22.747143,VIDEO_REJECTED,cyclo rejected video,freq=2361076923.076923,score=0
2026-04-24T17:20:22.751445,PLATEAU_CONFIRMED,Wideband signal detected,freq=2378991452.991453,bw=6.9140625,hits=6
2026-04-24T17:20:22.892930,VIDEO_REJECTED,cyclo rejected video,freq=2378991452.991453,score=0
2026-04-24T17:20:22.951108,PLATEAU_CONFIRMED,Wideband signal detected,freq=2407233211.2332115,bw=5.576171875,hits=10
2026-04-24T17:20:23.112094,PLATEAU_CONFIRMED,Wideband signal detected,freq=2411924297.924298,bw=7.255859375,hits=9
2026-04-24T17:20:23.112700,VIDEO_REJECTED,cyclo rejected video,freq=2407233211.2332115,score=0
2026-04-24T17:20:23.143663,VIDEO_REJECTED,cyclo rejected video,freq=2411924297.924298,score=0
2026-04-24T17:20:23.189586,PLATEAU_CONFIRMED,Wideband signal detected,freq=2462498168.4981685,bw=4.8876953125,hits=7
2026-04-24T17:20:23.212208,VIDEO_REJECTED,cyclo rejected video,freq=2462498168.4981685,score=0
2026-04-24T17:20:23.345398,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=2580000000
2026-04-24T17:20:23.374255,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=2600000000
2026-04-24T17:20:23.499710,PLATEAU_CONFIRMED,Wideband signal detected,freq=2612573870.5738707,bw=5.1953125,hits=7
2026-04-24T17:20:23.564652,PLATEAU_CONFIRMED,Wideband signal detected,freq=2632275946.275946,bw=7.255859375,hits=9
2026-04-24T17:20:23.564623,VIDEO_REJECTED,cyclo rejected video,freq=2612573870.5738707,score=0
2026-04-24T17:20:23.675482,VIDEO_REJECTED,cyclo rejected video,freq=2632275946.275946,score=1
2026-04-24T17:20:23.675682,PLATEAU_CONFIRMED,Wideband signal detected,freq=2655074481.074481,bw=8.544921875,hits=4
2026-04-24T17:20:23.730202,VIDEO_REJECTED,cyclo rejected video,freq=2655074481.074481,score=0
2026-04-24T17:20:23.737219,PLATEAU_CONFIRMED,Wideband signal detected,freq=2672573870.5738707,bw=3.662109375,hits=6
2026-04-24T17:20:23.759957,VIDEO_REJECTED,cyclo rejected video,freq=2672573870.5738707,score=0
2026-04-24T17:20:24.201591,PLATEAU_CONFIRMED,Wideband signal detected,freq=3024564102.5641026,bw=7.6318359375,hits=5
2026-04-24T17:20:24.227850,VIDEO_REJECTED,cyclo rejected video,freq=3024564102.5641026,score=0
2026-04-24T17:20:24.237622,PLATEAU_CONFIRMED,Wideband signal detected,freq=3038029304.029304,bw=8.80859375,hits=5
2026-04-24T17:20:24.282834,PLATEAU_CONFIRMED,Wideband signal detected,freq=3057890109.89011,bw=7.978515625,hits=4
2026-04-24T17:20:24.282955,VIDEO_REJECTED,cyclo rejected video,freq=3038029304.029304,score=0
2026-04-24T17:20:24.313718,VIDEO_REJECTED,cyclo rejected video,freq=3057890109.89011,score=0
2026-04-24T17:20:24.320494,PLATEAU_CONFIRMED,Wideband signal detected,freq=3074539682.5396824,bw=7.3095703125,hits=4
2026-04-24T17:20:24.343181,VIDEO_REJECTED,cyclo rejected video,freq=3074539682.5396824,score=0
2026-04-24T17:20:24.514789,PLATEAU_CONFIRMED,Wideband signal detected,freq=3219997557.997558,bw=8.2080078125,hits=5
2026-04-24T17:20:24.541427,VIDEO_REJECTED,cyclo rejected video,freq=3219997557.997558,score=0
2026-04-24T17:20:24.544974,PLATEAU_REJECTED,Not enough hits,hits=1,required=3,freq=3240000000
2026-04-24T17:20:24.786296,PLATEAU_REJECTED,Not enough hits,hits=2,required=3,freq=3420000000
